V jenkins:git ---expect--> org.jenkins-ci.plugins:git
   > 30.0892  org.jenkins-ci.plugins:git
   > 26.9248  org.jenkins-ci.plugins:git-bisect
   > 26.9248  org.jenkins-ci.plugins:git-server
   > 26.9248  org.jenkins-ci.plugins:git-client
   > 26.9248  org.jenkins-ci.plugins:teamconcert-git
   > 26.9248  org.jenkins-ci.plugins:tracking-git
   > 24.3626  org.jenkins-ci.plugins:git-chooser-alternative
   > 24.3626  org.jenkins-ci.plugins:git-tag-message
   > 24.3626  org.jenkins-ci.plugins:git-userContent
   > 24.3626  org.jenkins-ci.plugins:git-prebuildmerge-trait
   > 24.0714  io.jenkins.plugins:git-forensics
   > 24.0714  io.jenkins.plugins:git-push
   > 22.2456  org.jenkins-ci.plugins:tuleap-git-branch-source
   > 22.2456  org.jenkins-ci.plugins:list-git-branches-parameter
   > 22.2456  org.jenkins-ci.plugins:google-git-notes-publisher
   > 21.5398  org.jenkins-ci.tools:git-parameter
   > 21.5398  io.jenkins.plugins:git-forensics-parent
   > 20.4672  org.jenkins-ci.plugins:view-job-filters-it-git-1.1.11
   > 19.5580  org.jenkins-ci.plugins:javancss
   > 19.5580  org.jenkins-ci.plugins:deadmanssnitch
   > 19.5580  org.jenkins-ci.plugins:ansible
   > 19.5580  org.jenkins-ci.plugins:jgiven
   > 19.5580  org.jenkins-ci.plugins:mantis
   > 19.5580  org.jenkins-ci.plugins:mttr
   > 19.5580  org.jenkins-ci.plugins:cygpath
   > 19.5580  org.jenkins-ci.plugins:imagecomparison
   > 19.5580  org.jenkins-ci.plugins:benchmark
   > 19.5580  org.jenkins-ci.plugins:teststudiomobiletesting
   > 19.5580  org.jenkins-ci.plugins:ec2
   > 19.5580  org.jenkins-ci.plugins:puppet
   > 19.5580  org.jenkins-ci.plugins:strawboss
   > 19.5580  org.jenkins-ci.plugins:zulip
   > 19.5580  org.jenkins-ci.plugins:pushover
   > 19.5580  org.jenkins-ci.plugins:Plugin
   > 19.5580  org.jenkins-ci.plugins:s3
   > 19.5580  org.jenkins-ci.plugins:wikipublisher
   > 19.5580  org.jenkins-ci.plugins:teststudio
   > 19.5580  org.jenkins-ci.plugins:pollscm
   > 19.5580  org.jenkins-ci.plugins:katalon
   > 19.5580  org.jenkins-ci.plugins:antexec
   > 19.5580  org.jenkins-ci.plugins:jobrevision
   > 19.5580  org.jenkins-ci.plugins:chatwork
   > 19.5580  org.jenkins-ci.plugins:perfci
   > 19.5580  org.jenkins-ci.plugins:prebuild
   > 19.5580  org.jenkins-ci.plugins:jenkinswalldisplay
   > 19.5580  org.jenkins-ci.plugins:pureload
   > 19.5580  org.jenkins-ci.plugins:sounds
   > 19.5580  org.jenkins-ci.plugins:perfpublisher
   > 19.5580  org.jenkins-ci.plugins:persona
   > 19.5580  io.jenkins.plugins:abap-ci
   > 19.5580  org.jenkins-ci.plugins:request
   > 19.5580  org.jenkins-ci.plugins:php
   > 19.5580  org.jenkins-ci.plugins:jclouds-jenkins
   > 19.5580  org.jenkins-ci.plugins:zanata
   > 19.5580  org.jenkins-ci.plugins:iojs
   > 19.5580  org.jenkins-ci.plugins:nunit
   > 19.5580  org.jenkins-ci.plugins:logstash
   > 19.5580  org.jenkins-ci.plugins:saltstack
   > 19.5580  org.jenkins-ci.plugins:cobertura
   > 19.5580  org.jenkins-ci.plugins:doxygen
   > 19.5580  org.jenkins-ci.plugins:p4
   > 19.5580  org.jenkins-ci.plugins:sonatype-ci
   > 19.5580  org.jenkins-ci.plugins:ansicolor
   > 19.5580  org.jenkins-ci.plugins:seleniumhtmlreport
   > 19.5580  org.jenkins-ci.plugins:htmlresource
   > 19.5580  org.jenkins-ci.plugins:electricflow
   > 19.5580  org.jenkins-ci.plugins:partyparrotstatus
   > 19.5580  org.jenkins-ci.plugins:mercurial
   > 19.5580  org.jenkins-ci.plugins:emmacoveragecolumn
   > 19.5580  org.jenkins-ci.plugins:junit
   > 19.5580  org.jenkins-ci.plugins:timestamper
   > 19.5580  org.jenkins-ci.plugins:kanboard
   > 19.5580  org.jenkins-ci.plugins:stepcounter
   > 19.5580  org.jenkins-ci.plugins:rtc
   > 19.5580  org.jenkins-ci.plugins:ant
   > 19.5580  org.jenkins-ci.plugins:jsch
   > 19.5580  org.jenkins-ci.plugins:postbuildscript
   > 19.5580  org.jenkins-ci.plugins:ontrack
   > 19.5580  org.jenkins-ci.plugins:linenumbers
   > 19.5580  org.jenkins-ci.plugins:database
   > 19.5580  org.jenkins-ci.plugins:mailer
   > 19.5580  org.jenkins-ci.plugins:stackhammer
   > 19.5580  org.jenkins-ci.plugins:testflight
   > 19.5580  org.jenkins-ci.plugins:labmanager
   > 19.5580  org.jenkins-ci.plugins:cvs
   > 19.5580  org.jenkins-ci.plugins:saml
   > 19.5580  org.jenkins-ci.plugins:saferestart
   > 19.5580  org.jenkins-ci.plugins:pry
   > 19.5580  org.jenkins-ci.plugins:humbug
   > 19.5580  org.jenkins-ci.plugins:htmlpublisher
   > 19.5580  org.jenkins-ci.plugins:join
   > 19.5580  org.jenkins-ci.plugins:jboss
   > 19.5580  org.jenkins-ci.plugins:grinder
   > 19.5580  org.jenkins-ci.plugins:badge
   > 19.5580  org.jenkins-ci.plugins:influxdb
   > 19.5580  org.jenkins-ci.plugins:performance
   > 19.5580  org.jenkins-ci.plugins:easyant
   > 19.5580  org.jenkins-ci.plugins:selenium
   > 19.5580  org.jenkins-ci.plugins:artifactdeployer
   > 19.5580  org.jenkins-ci.plugins:rrod
   > 19.5580  org.jenkins-ci.plugins:metrics
   > 19.5580  org.jenkins-ci.plugins:distfork
   > 19.5580  org.jenkins-ci.plugins:testlink
   > 19.5580  org.jenkins-ci.plugins:structs
   > 19.5580  org.jenkins-ci.plugins:notifo
   > 19.5580  org.jenkins-ci.plugins:naginator
   > 19.5580  org.jenkins-ci.plugins:wix
   > 19.5580  org.jenkins-ci.plugins:shiningpanda
   > 19.5580  org.jenkins-ci.plugins:serenity
   > 19.5580  org.jenkins-ci.plugins:cmakebuilder
   > 19.5580  org.jenkins-ci.plugins.uithemes:uithemes
   > 19.5580  org.jenkins-ci.plugins:cppcheck
   > 19.5580  org.jenkins-ci.plugins:fortify
   > 19.5580  org.jenkins-ci.plugins:virtualbox
   > 19.5580  org.jenkins-ci.plugins:hockeyapp
   > 19.5580  org.jenkins-ci.plugins:scm
   > 19.5580  org.jenkins-ci.plugins:radargun
   > 19.5580  org.jenkins-ci.plugins:scp
   > 19.5580  org.jenkins-ci.plugins:weibo
   > 19.5580  org.jenkins-ci.plugins:buildtriggerbadge
   > 19.5580  org.jenkins-ci.plugins:snsnotify
   > 19.5580  org.jenkins-ci.plugins:vss
   > 19.5580  org.jenkins-ci.plugins:logentries
   > 19.5580  org.jenkins-ci.plugins:nsis
   > 19.5580  org.jenkins-ci.plugins:logfilesizechecker
   > 19.5580  org.jenkins-ci.plugins:plgn
   > 19.5580  org.jenkins-ci.plugins:mattermost
   > 19.5580  org.jenkins-ci.plugins:walti
   > 19.5580  org.jenkins-ci.plugins:sahagin
   > 19.5580  org.jenkins-ci.plugins:vstestrunner
   > 19.5580  org.jenkins-ci.plugins:jquery
   > 19.5580  org.jenkins-ci.plugins:darcs
   > 19.5580  org.jenkins-ci.plugins:whitesource
   > 19.5580  org.jenkins-ci.plugins:cifs
   > 19.5580  org.jenkins-ci.plugins:teamconcert
   > 19.5580  org.jenkins-ci.plugins:bart
   > 19.5580  org.jenkins-ci.plugins:column
   > 19.5580  org.jenkins-ci.plugins:cloverphp
   > 19.5580  org.jenkins-ci.plugins:ssh
   > 19.5580  org.jenkins-ci.plugins:jobgenerator
   > 19.5580  org.jenkins-ci.plugins:tcl
   > 19.5580  org.jenkins-ci.plugins:easytestreport
   > 19.5580  org.jenkins-ci.plugins:qc
   > 19.5580  org.jenkins-ci.plugins:radiatorviewplugin
   > 19.5580  org.jenkins-ci.plugins:configurationslicing
   > 19.5580  org.jenkins-ci.plugins:toolenv
   > 19.5580  org.jenkins-ci.plugins:buildheroes
   > 19.5580  org.jenkins-ci.plugins:elastest
   > 19.5580  org.jenkins-ci.plugins:envinject
   > 19.5580  org.jenkins-ci.plugins:nant
   > 19.5580  org.jenkins-ci.plugins:clearcase
   > 19.5580  org.jenkins-ci.plugins:qftest
   > 19.5580  org.jenkins-ci.plugins:redmine
   > 19.5580  org.jenkins-ci.plugins:leastload
   > 19.5580  org.jenkins-ci.plugins:zentimestamp
   > 19.5580  org.jenkins-ci.plugins:subversion
   > 19.5580  org.jenkins-ci.plugins:fogbugz
   > 19.5580  org.jenkins-ci.plugins:Exclusion
   > 19.5580  org.jenkins-ci.plugins:typetalk
   > 19.5580  org.jenkins-ci.plugins:copyarchiver
   > 19.5580  org.jenkins-ci.plugins:scoverage
   > 19.5580  org.jenkins-ci.plugins:concordionpresenter
   > 19.5580  org.jenkins-ci.plugins:jira
   > 19.5580  org.jenkins-ci.plugins:plot
   > 19.5580  org.jenkins-ci.plugins:prometheus
   > 19.5580  org.jenkins-ci.plugins:testabilityexplorer
   > 19.5580  org.jenkins-ci.plugins:tmpcleaner
