V jenkins:mercurial ---expect--> org.jenkins-ci.plugins:mercurial
   > 29.8463  org.jenkins-ci.plugins:mercurial
   > 19.4001  org.jenkins-ci.plugins:javancss
   > 19.4001  org.jenkins-ci.plugins:deadmanssnitch
   > 19.4001  org.jenkins-ci.plugins:ansible
   > 19.4001  org.jenkins-ci.plugins:jgiven
   > 19.4001  org.jenkins-ci.plugins:git
   > 19.4001  org.jenkins-ci.plugins:mantis
   > 19.4001  org.jenkins-ci.plugins:mttr
   > 19.4001  org.jenkins-ci.plugins:cygpath
   > 19.4001  org.jenkins-ci.plugins:imagecomparison
   > 19.4001  org.jenkins-ci.plugins:benchmark
   > 19.4001  org.jenkins-ci.plugins:teststudiomobiletesting
   > 19.4001  org.jenkins-ci.plugins:ec2
   > 19.4001  org.jenkins-ci.plugins:puppet
   > 19.4001  org.jenkins-ci.plugins:strawboss
   > 19.4001  org.jenkins-ci.plugins:zulip
   > 19.4001  org.jenkins-ci.plugins:pushover
   > 19.4001  org.jenkins-ci.plugins:Plugin
   > 19.4001  org.jenkins-ci.plugins:s3
   > 19.4001  org.jenkins-ci.plugins:wikipublisher
   > 19.4001  org.jenkins-ci.plugins:teststudio
   > 19.4001  org.jenkins-ci.plugins:pollscm
   > 19.4001  org.jenkins-ci.plugins:katalon
   > 19.4001  org.jenkins-ci.plugins:antexec
   > 19.4001  org.jenkins-ci.plugins:jobrevision
   > 19.4001  org.jenkins-ci.plugins:chatwork
   > 19.4001  org.jenkins-ci.plugins:perfci
   > 19.4001  org.jenkins-ci.plugins:prebuild
   > 19.4001  org.jenkins-ci.plugins:jenkinswalldisplay
   > 19.4001  org.jenkins-ci.plugins:pureload
   > 19.4001  org.jenkins-ci.plugins:sounds
   > 19.4001  org.jenkins-ci.plugins:perfpublisher
   > 19.4001  org.jenkins-ci.plugins:persona
   > 19.4001  io.jenkins.plugins:abap-ci
   > 19.4001  org.jenkins-ci.plugins:request
   > 19.4001  org.jenkins-ci.plugins:php
   > 19.4001  org.jenkins-ci.plugins:jclouds-jenkins
   > 19.4001  org.jenkins-ci.plugins:zanata
