V jenkins:script_security ---expect--> org.jenkins-ci.plugins:script-security
   > 36.7259  org.jenkins-ci.plugins:script-security
   > 33.7394  org.jenkins-ci.plugins:permissive-script-security
   > 27.2044  org.jenkins-ci.plugins:security-inspector
   > 27.2044  org.jenkins-ci.plugins:script-scm
   > 27.2044  org.jenkins-ci.plugins:ScriptCS
   > 24.9921  org.jenkins-ci.plugins:composer-security-checker
   > 24.9921  org.jenkins-ci.plugins:global-post-script
   > 24.9921  org.jenkins-ci.plugins:aqua-security-scanner
   > 24.9921  org.jenkins-ci.plugins:sqlplus-script-runner
   > 24.9921  org.jenkins-ci.plugins:groovy-script-scheduler
   > 24.9921  org.jenkins-ci.plugins:dotnet-as-script
   > 24.9921  org.jenkins-ci.plugins:mock-security-realm
   > 23.8771  org.jenkins-ci:SECURITY-144-compat
   > 23.8771  io.jenkins.plugins:beagle-security
   > 23.8771  io.jenkins.plugins:crowdstrike-security
   > 23.8771  io.jenkins.plugins:probely-security
   > 23.1396  org.craftercms:script-security
   > 23.1126  org.jenkins-ci.plugins:contrast-continuous-application-security
   > 21.7635  io.jenkins.plugins:mixing-security-realm
   > 21.7635  io.jenkins.plugins:secure-post-script
   > 21.7635  io.jenkins.plugins:42crunch-security-audit
   > 21.7635  io.jenkins.plugins:global-pre-script
   > 21.7635  io.jenkins.plugins:extended-security-settings
   > 21.7635  io.jenkins.plugins:qualys-iac-security
   > 21.7635  io.jenkins.plugins:remoting-security-workaround
   > 21.7635  io.jenkins.plugins:lacework-security-scanner
   > 21.7635  io.jenkins.plugins:google-container-security
   > 20.8924  org.xwiki.platform:xwiki-platform-security-script
   > 19.9937  io.jenkins.plugins:nowsecure-auto-security-test
   > 19.4001  org.jenkins-ci.plugins:javancss
   > 19.4001  org.jenkins-ci.plugins:deadmanssnitch
   > 19.4001  org.jenkins-ci.plugins:ansible
   > 19.4001  org.jenkins-ci.plugins:jgiven
   > 19.4001  org.jenkins-ci.plugins:git
   > 19.4001  org.jenkins-ci.plugins:mantis
   > 19.4001  org.jenkins-ci.plugins:mttr
   > 19.4001  org.jenkins-ci.plugins:cygpath
   > 19.4001  org.jenkins-ci.plugins:imagecomparison
   > 19.4001  org.jenkins-ci.plugins:benchmark
   > 19.4001  org.jenkins-ci.plugins:teststudiomobiletesting
   > 19.4001  org.jenkins-ci.plugins:ec2
   > 19.4001  org.jenkins-ci.plugins:puppet
   > 19.4001  org.jenkins-ci.plugins:strawboss
   > 19.4001  org.jenkins-ci.plugins:zulip
   > 19.4001  org.jenkins-ci.plugins:pushover
   > 19.4001  org.jenkins-ci.plugins:Plugin
   > 19.4001  org.jenkins-ci.plugins:s3
   > 19.4001  org.jenkins-ci.plugins:wikipublisher
   > 19.4001  org.jenkins-ci.plugins:teststudio
   > 19.4001  org.jenkins-ci.plugins:pollscm
   > 19.4001  org.jenkins-ci.plugins:katalon
   > 19.4001  org.jenkins-ci.plugins:antexec
   > 19.4001  org.jenkins-ci.plugins:jobrevision
   > 19.4001  org.jenkins-ci.plugins:chatwork
   > 19.4001  org.jenkins-ci.plugins:perfci
   > 19.4001  org.jenkins-ci.plugins:prebuild
   > 19.4001  org.jenkins-ci.plugins:jenkinswalldisplay
   > 19.4001  org.jenkins-ci.plugins:pureload
   > 19.4001  org.jenkins-ci.plugins:sounds
   > 19.4001  org.jenkins-ci.plugins:perfpublisher
   > 19.4001  org.jenkins-ci.plugins:persona
   > 19.4001  io.jenkins.plugins:abap-ci
   > 19.4001  org.jenkins-ci.plugins:request
   > 19.4001  org.jenkins-ci.plugins:php
   > 19.4001  org.jenkins-ci.plugins:jclouds-jenkins
   > 19.4001  org.jenkins-ci.plugins:zanata
