X 0.4.1 0.7.0 0.3.0 0.5.1 0.2.0 0.6.2 0.7.1 0.6.0 0.5.0 0.6.1 0.8.1 0.8.0 ---expect--> obspyck
go > github.com:jelmersnoeck:go-manifold | 0.0.7 0.1.0 0.2.0 0.7 0.7.0 0.7.2 0.0.3 0.5.0 0.4.0 0.6.0 0.0 0.0.4 0.0.2 0.0.5 0.3.0 0.0.6  6.2394
go > github.com:signalfx:splunk-otel-go:instrumentation:database:sql:splunksql:test | 0.8.0 0.7.0 0.0 0.1 0.8.1 0.9.0 0  6.0206
go > github.com:mosuka:phalanx | 0.1.0 0.2.0 0.0.0 0.4.1 0.4.0 0.3.1 0.3.0 0  5.6395
go > github.com:wolfeidau:dynastorev2 | 0.3.0 0.0.0 0.1.0 0.2.0  5.0344
go > github.com:ofzhur:terraform-provider-inwx | 0.1.0 0.2.0 0.3.2 0.3.0 0.3 0  4.3047
go > github.com:hansk-p:go-milter | 0.1.0 0.2.0 0.3.3 0.3.2 0.3.0 0.3  4.3047
go > github.com:dozen:go-check-plugins | 0.14 0.9.5 0.1.0 0.11.0 0.2.2 0.7.0 0.15.1 0.0.0 0.5.0 0.5 0.5.2 0.6.2 0.10 0.9.0 0.14.0 0.12.0 0.9.6 0.6.3 0.0.3 0.4.0 0.10.3 0.0 0.15.0 0.0.2 0.0.4 0.9.2 0.2 0.10.0 0.2.0 0.8.0 0.9.4 0.6.0 0.0.5 0.6 0.3 0 0.10.4 0.13.0 0.9 0.10.2 0.8 0.9.3 0.3.0 0.9.7  4.0132
go > github.com:rodolfoap:golib | 0.9.15  0.9.5 2.6 0.1.0 9 0.7.0 0.5.0 4 2.2 0.9.9 0.9.16 0.9.0 0.9.12 0.9.6 2.3 0.9.13 0.4.0 0.0 0.9.10 0.9.2 0.9.14 2 0.2.0 2.5 0.9.4 0.6.0 2.4 0.9.8 3 2.7 0 7 0.9 0.9.3 5 0.1.1 0.3.0 0.9.7  3.2421
go > github.com:wiz-sec:azure-sdk-for-go:sdk:azcore | 0.14  0.9.5 0.1.0 0.20.1 0.11.0 0.17.0 0.7.0 0.14.4 0.13.2 0.5.0 0.16 0.15 0.13.3 0.16.2 0.10 0.20.0 0.9.0 0.14.0 0.12.0 0.7 0.9.6 0.14.2 0.4.0 0.19.0 0.0 0.15.0 0.18 0.23 0.4 0.13.4 0.9.2 0.22.0 0.2 0.8.2 0.10.0 0.2.0 0.18.0 0.8.0 0.9.4 0.6.0 0.23.0 0.16.0 0.12 0.14.3 0 0.13.0 0.9 0.21.0 0.9.3 0.8 0.3.0 0.14.5 0.13  2.9797
go > go-micro.dev:v4:util:kubernetes:api:cmd |  4.0 8.3 0.14 0.1.0 0.11.0 0.17.0 0.7.0 0.25.0 9 0.5.0 0.15 0.20.0 0.26 0.26.0 0.9.0 0.14.0 0.12.0 0.24.0 6.0 0.4.0 0.15.0 0.0 0.1.3 5.0 3.0 0.22.0 0.1.2 0.24 0.10.0 2 0.2.0 0.8.0 8.0 0.22 0.23.0 0.6.0 0.16.0 3 0 9.0 0.1.4 7 0.13.0 8.2 0.27.0 0.21.0 8 0.27 5 7.0 2.0 0.3.0 3.2  2.9797
go > github.com:takahirox:riscv-rust | 0.2.1 0.1.0 0.2.0  2.7504
go > github.com:mnsgoyal:go-proto-validators | 3.9 4.0 0.1.0 0.2.0 0.3.3 0.3.8 0.3.6 4.2 4 0.3.2 0.3.7 0.3.0 0.3.4 0.3  2.7248
go > github.com:toni-moreno:telegraf | 0.1.2 0.1.8 0.1.4 0.1.0 0.10.0 0.1.9 0.2.0 0.2.2 0.10.2 0.1.7 0.1.6 0.2 0.2.4 0.2.3 0.3.0 0.1.3 0.10 0  2.3023
go > github.com:mrshah-at-ibm:fabric | 4.0  4.5 0.5 4 0.6.1 0.0 0.4 3.0 0.2 4.3 2 4.2 0.6.0 0.6 0.3 0 4.1 4.6 2.0.0 4.4 2.0  2.0624
go > github.com:Amrish-Sharma:gluster_exporter | 0.1.2 0.1.0 0.2.0 0.2.2 0.2.8 0.2.4 0.2.3 0.2.6 0 0.2.5 0.2.7 0.2  1.5000
go > github.com:nicored:aws-sdk-go |  8.3 0.33 25 6.6 0.15 0.9.16 0.10 0.34 6.16 5.5 0.38 0.9.12 27 34 0.7 0.35 2.3 0.7.4 6.10 5.6 6.7 0.4 6.2 4.8 0.2 4.17 2 0.6.7 6.24 8.35 5.8 3 8.27 0.10.4 0.20 7 32 8.2 6.13 23 6.23 8.44 5 8.13 4.9 8.6 7.9 8.7 0.14 6.19 0.9.15 0.50 9 9.44 8.29 8.23 7.8 0.26 33 20 8.39 0.39 0.9.6 0.7.3 35 0.9.13 8.40 0.6.4 0.23 0.18 3.0 0.43 0.52 8.18 6 7.4 0.46 26 8.4 6.14 0.29 5.9 8.32 0.6 4.16 0.9.8 2.7 8.34 8.22 8.10 36 0.6.5 8.20 7.6 0.8 24 0.7.2 8.19 0.32 4.5 0.45 2.6 8.38 22 6.15 0.5 6.22 4 8.42 0.6.2 8.5 28 0.28 8.36 0.40 0.19 29 30 0.0 8.30 0.9.10 8.8 2.10 6.20 0.24 0.48 6.5 0.44 8.0 0.22 4.18 8.12 4.10 0.6.0 0.36 8.26 0.12 9.0 4.12 5.10 8.24 0.9 4.6 6.8 6.26 8.33 0.6.8 7.0 2.0 8.14 4.19 0.9.17 8.28 8.9 4.0 7.3 0.9.5 0.13 6.25 4.15 4.20 0.7.0 5.12 5.4 6.17 5.3 0.16 6.9 2.2 8.16 8.37 0.9.9 0.25 7.7 8.25 5.2 6.4 0.47 0.17 0.6.3 4.7 6.0 0.10.3 4.22 5.7 8.43 5.0 8.15 0.37 4.3 0.42 0.10.0 6.27 0.9.14 2.5 5.13 6.18 0.30 4.2 7.2 0.6.6 2.4 2.8 0.3 0 8.17 6.12 0.10.2 6.3 8 0.27 4.4 7.5 0.9.7  0.4287
