Vulnerability ID,Erroneous Affected Component,Suggested Component,Evidence
CVE-2021-26715,maven__split__org.mitre:openid-connect-server-webapp,maven__split__org.mitre:openid-connect-server,"according to the vulnerability advisory(https://portswigger.net/research/hidden-oauth-attack-vectors), the vulnerable code is located in the vulnerable controller was located at org.mitre.openid.connect.web.ClientAPI#getClientLogo which belong to openid-connect-server not openid-connect-server-webapp (https://github.com/mitreid-connect/OpenID-Connect-Java-Spring-Server/blob/master/openid-connect-server/src/main/java/org/mitre/openid/connect/web/ClientAPI.java#L509)"
CVE-2021-38555,maven__split__org.apache.any23:apache-any23-core,maven__split__org.apache.any23:apache-any23,"not only apache-any23-core are affected, StreamUtils.java is located in org.apache.any23:apache-any23 and org.apache.any23:apache-any23-core both"
CVE-2020-1954,"rhel:8__split__eap7-jboss-server-migration
rhel:8__split__eap7-narayana-jbosstxbridge
rhel:8__split__eap7-jboss-invocation
rhel:8__split__eap7-apache-cxf
rhel:8__split__eap7-hibernate
rhel:8__split__eap7-activemq-artemis-server
rhel:8__split__eap7-jboss-server-migration-eap6.4-to-eap7.3
rhel:8__split__eap7-bouncycastle-mail
rhel:8__split__eap7-glassfish-jsf
rhel:8__split__eap7-activemq-artemis-native
rhel:8__split__eap7-narayana-restat-bridge
rhel:8__split__eap7-apache-cxf-rt
maven__split__org.apache.cxf:cxf-rt-management
rhel:8__split__eap7-activemq-artemis-jms-client
rhel:8__split__eap7-apache-cxf-tools
rhel:8__split__eap7-jboss-server-migration-wildfly16.0-server
rhel:8__split__eap7-narayana-compensations
rhel:8__split__eap7-narayana-jts-idlj
rhel:7__split__eap7-activemq-artemis-ra
rhel:8__split__eap7-wildfly-javadocs
rhel:8__split__eap7-jboss-server-migration-wildfly10.0
rhel:8__split__eap7-jboss-server-migration-wildfly10.1
rhel:8__split__eap7-bouncycastle
rhel:8__split__eap7-jboss-server-migration-wildfly15.0-server
rhel:8__split__eap7-jboss-server-migration-eap6.4
rhel:8__split__eap7-activemq-artemis-commons
rhel:8__split__eap7-wildfly-elytron
rhel:8__split__eap7-activemq-artemis-hqclient-protocol
rhel:8__split__eap7-picketbox
rhel:8__split__eap7-activemq-artemis-service-extensions
rhel:8__split__eap7-activemq-artemis-journal","maven__split__org.apache.cxf:cxf-rt-management
maven__split__org.apache.cxf:cxf-bundle","Apache CXF can integrate with JMX using an InstrumentationManager extension. If the 'createMBServerConnectorFactory' property of the default InstrumentationManagerImpl is not disabled, it is vulnerable to MITM attacks. And the 'createMBServerConnectorFactory' property of the default InstrumentationManagerImpl is in org.apache.cxf:cxf-rt-management (https://github.com/apache/cxf/blob/5c64b7a10227d59cd61f9e61a64496e57bf2e1b6/rt/management/src/main/java/org/apache/cxf/management/jmx/InstrumentationManagerImpl.java#L59) and artifact org.apache.cxf:cxf-bundle contain org.apache.cxf:cxf-rt-management which is also affected"
CVE-2021-28165,"rhel:7__split__jetty-websocket-server
rhel:7__split__jetty-websocket-api
sles:15.3__split__jetty-util-ajax
sles:15.3__split__jetty-http
rhel:7__split__jetty-client
sles:15.3__split__jetty-security
sles:15.2__split__jetty-server
sles:15.2__split__jetty-http
sles:15.2__split__jetty-util-ajax
sles:15.2__split__jetty-security
sles:15.2__split__jetty-util
rhel:7__split__jetty-security
sles:15.3__split__jetty-server
sles:15.2__split__jetty-servlet
rhel:7__split__runc
rhel:7__split__jetty-xml
rhel:7__split__jetty-util
rhel:7__split__jetty-http
maven__split__org.eclipse.jetty:jetty-io
centos:7__split__jetty-project
centos:7__split__jetty-security
rhel:7__split__jetty-util-ajax
centos:7__split__jetty-plus
rhel:7__split__jetty-servlets
centos:7__split__jetty-servlets
rhel:7__split__jetty-continuation
sles:15.3__split__jetty-io
sles:15.3__split__jetty-servlet
sles:15.3__split__jetty-util
sles:15.2__split__jetty-io
rhel:7__split__jetty-start",maven__split__org.eclipse.jetty:jetty-server,"The server may receive an invalid TLS frame, leading to 100% CPU usage. and jetty-server is clearly impacted. The workaroud of the vulnerability can refer https://github.com/eclipse/jetty.project/security/advisories/GHSA-26vr-8j45-3r4w"
CVE-2017-14868,"ubuntu:16.04__split__restlet
maven__split__org.restlet.osgi:org.restlet
ubuntu:18.04__split__restlet
ubuntu:18.10__split__restlet",maven__split__org.restlet.jse:org.restlet.ext.jaxrs,"as cve says: 'when using SimpleXMLProvider, ... This affects use of org.restlet.ext.jaxrs (Jax-rs extension)'. SimpleXMLProvider is located in modules/org.restlet.ext.jaxrs/src/main/java/org/restlet/ext/jaxrs/internal/provider/SimpleXmlProvider.java. Ref: https://github.com/restlet/restlet-framework-java/wiki/XEE-security-enhancements."
CVE-2021-34371,maven__split__org.neo4j:neo4j,maven__split__org.neo4j:neo4j-shell,"Neo4j through 3.4.18 exposes an RMI service that arbitrarily deserializes Java objects, the exploit is worked with shellserver in neo4j-shell-3.4.18.jar: https://www.exploit-db.com/exploits/50170"
CVE-2019-10868,"ubuntu:21.10__split__tryton-server
ubuntu:18.04__split__tryton-server
debian:unstable__split__tryton-server
ubuntu:16.04__split__tryton-server
ubuntu:21.04__split__tryton-server
ubuntu:19.10__split__tryton-server
ubuntu:18.10__split__tryton-server
ubuntu:22.10__split__tryton-server
debian:10__split__tryton-server
debian:9__split__tryton-server
ubuntu:22.04__split__tryton-server
ubuntu:19.04__split__tryton-server
ubuntu:20.10__split__tryton-server
ubuntu:20.04__split__tryton-server
debian:13__split__tryton-server
debian:11__split__tryton-server
pypi__split__tryton
debian:12__split__tryton-server
ubuntu:14.04__split__tryton-server",pypi__split__trytond,"In trytond/model/modelstorage.py in Tryton, an authenticated user can order records based on a field for which he has no access right. It would be more appropriate to adjust the affected component to trytond(https://pypi.org/project/trytond/) instead of tryton(https://pypi.org/project/tryton/)."
CVE-2021-43841,maven__split__org.xwiki.platform:xwiki-platform-oldcore,"maven__split__org.xwiki.platform:xwiki-platform-oldcore
maven__split__org.xwiki.platform:xwiki-platform-tool-configuration-resources","as mentioned in path https://github.com/xwiki/xwiki-platform/commit/5853d492b3a274db0d94d560e2a5ea988a271c62#diff-f16636e21658a0cc4675a4b2e67b352e62316cfc55898888bdffda291edd19c6, the svg is forbidden not only in xwiki-platform-oldcore but in xwiki-platform-tool-configuration-resources, so the affected components contain org.xwiki.platform:xwiki-platform-tool-configuration-resources"
CVE-2021-32635,"unmanaged__split__sylabs:singularity
go__split__github.com:hpcng:singularity:e2e:actions",go__split__github.com:sylabs:singularity,"the patch is: https://github.com/sylabs/singularity/commit/d52ae9d13979733c5e987a566fae59ed6f1bf796, and according to this patch, github.com:sylabs:singularity is actually affected as well"
CVE-2020-1727,maven__split__org.keycloak:keycloak-services,maven__split__org.keycloak:keycloak-common,"according to this patch: https://github.com/keycloak/keycloak/commit/2f489a41ebd06eb14197f8a66afae86ac1397f42#diff-ac2900b18c6e2b356b59c69a52ced02290b81030df01331775938d5cee692229, org.keycloak:keycloak-common may also be affected"
