Vulnerability ID,Erroneous Affected Component,Suggested Component,Evidence
CVE-2018-1000408,"rpm__split__atomic-openshift-service-idler
rpm__split__jenkins-2-plugins
rpm__split__golang-github-prometheus-node_exporter
rpm__split__openshift-ansible
rpm__split__golang-github-prometheus-alertmanager
rpm__split__atomic-openshift-node-problem-detector
rpm__split__atomic-enterprise-service-catalog
rpm__split__openshift-monitor-project-lifecycle
rpm__split__atomic-openshift-dockerregistry
rpm__split__atomic-openshift
rpm__split__golang-github-prometheus-prometheus
rpm__split__kibana
rpm__split__atomic-openshift-cluster-autoscaler
rpm__split__openshift-enterprise-cluster-capacity
rpm__split__atomic-openshift-metrics-server
rpm__split__openshift-enterprise-autoheal
rpm__split__atomic-openshift-web-console
rpm__split__atomic-openshift-descheduler
rpm__split__openshift-monitor-sample-app
rpm__split__golang-github-openshift-oauth-proxy
rpm__split__cri-o
rpm__split__jenkins",maven__split__org.jenkins-ci.main:jenkins-core,"it affect org.jenkins-ci.main:jenkins-core, the advisory is https://jenkins.io/security/advisory/2018-10-10/#SECURITY-1128, the patch is https://github.com/jenkinsci/jenkins/commit/01157a699f611ca7492e872103ac01526a982cf2"
CVE-2019-1003040,rpm__split__jenkins-2-plugins,maven__split__org.jenkins-ci.plugins:script-security,"it affect org.jenkins-ci.plugins:script-security, the advisory is https://www.jenkins.io/security/advisory/2019-03-25/#SECURITY-1353, the patch is https://github.com/jenkinsci/script-security-plugin/commit/8424ad90547e37a2bd3b6a3a7da48eb1af9cd0ee"
CVE-2019-10790,npm__split__taffy,npm__split__taffydb,"according to the desc of cve, the taffydb may be affected as well, https://www.npmjs.com/package/taffydb"
CVE-2020-8554,go__split__github.com:kubernetes:kubernetes,go__split__k8s.io:kubernetes,the real affected go module of kubernetes is called k8s.io:kubernetes in go.mod (refer the patch https://github.com/kubernetes/kubernetes/pull/96296/commits)
CVE-2018-20094,maven__split__com.xuxueli:xxl-conf,maven__split__com.xuxueli:xxl-conf-admin,"as mentioned in the poc, https://github.com/xuxueli/xxl-conf/issues/61, the ConfController.java line 150 are affected, and this method is located in https://github.com/xuxueli/xxl-conf/blob/6726dfe7979ea6d8fb983771471cde69789de632/xxl-conf-admin/src/main/java/com/xxl/conf/admin/controller/ConfController.java, the scope can be more specific: com.xuxueli:xxl-conf-admin"
CVE-2020-7639,npm__split__eivindfjeldstad-dot,npm__split__@eivifj:dot,"according to the patch https://github.com/eivindfjeldstad/dot/commit/774e4b0c97ca35d2ae40df2cd14428d37dd07a0b#diff-7ae45ad102eab3b6d7e7896acd08c427a9b25b346470d7bc6507b6481575d519, the affected compoonent is @eivifj/dot"
CVE-2019-12421,maven__split__org.apache.nifi:nifi-web-api,"maven__split__org.apache.nifi:nifi-web-security
maven__split__org.apache.nifi:nifi-web-api","according to the advisory(https://nifi.apache.org/security.html#CVE-2019-12421) and patch(https://github.com/apache/nifi/commit/cf6f5172503ce438c6c22c334c9367f774db7b24), the affected compoents are in nifi-web, more specifically, nifi-web-security and nifi-web-api"
CVE-2019-10357,rpm__split__jenkins-2-plugins,maven__split__org.jenkins-ci.plugins.workflow:workflow-cps-global-lib,"the advisory is: https://www.jenkins.io/security/advisory/2019-07-31/#SECURITY1422, the patch is: https://github.com/jenkinsci/workflow-cps-global-lib-plugin/commit/6fce1e241d82641e8648c546bc63c22a5e07e96b, the artifact id is org.jenkins-ci.plugins.workflow:workflow-cps-global-lib(https://github.com/jenkinsci/workflow-cps-global-lib-plugin/blob/6fce1e241d82641e8648c546bc63c22a5e07e96b/pom.xml)"
CVE-2020-2305,rpm__split__jenkins-2-plugins,maven__split__org.jenkins-ci.plugins:mercurial,"org.jenkins-ci.plugins:mercurial is affected in fact, the advisory is https://www.jenkins.io/security/advisory/2020-11-04/#SECURITY-2115"
CVE-2021-20329,go__split__github.com:mongodb:mongo-go-driver,go__split__go.mongodb.org:mongo-driver,"go.mongodb.org:mongo-driver and github.com:mongodb:mongo-go-driver are tow different distribution, the affected component is go.mongodb.org:mongo-driver(https://pkg.go.dev/go.mongodb.org/mongo-driver?tab=versions) not github.com:mongodb:mongo-go-driver(https://pkg.go.dev/github.com/mongodb/mongo-go-driver?tab=versions)"
CVE-2017-1000034,"maven__split__com.typesafe.akka:akka-remote_2.11
maven__split__com.typesafe.akka:akka-actor_2.10
maven__split__com.typesafe.akka:akka-actor_2.11",maven__split__com.typesafe.akka:akka-actor,"the affected maven component may not contain information about version, it is not standardized"
